Player,Year,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Vincent Spadea,2000,27,3,24,0.1111111111111111,0.04231433506044905,0.046632124352331605,0.5094991364421416,0.6652542372881356,0,0.5669257340241797,0.3511342155009452,0,0.8107944597210262
George Bastl,2000,36,15,21,0.4166666666666667,0.05384907091391733,0.037163443306788016,0.664391353811149,0.6541095890410958,0,0.5942358740993553,0.3890126206384558,0,0.9587161501155215
Marcelo Rios,2000,46,28,18,0.6086956521739131,0.08133295679186671,0.04857384919514261,0.5521039254447896,0.7253196930946292,0,0.6379553798362044,0.39034968826240174,0,1.0781811592333577
Francisco Clavet,2000,58,28,30,0.4827586206896552,0.02894916799635286,0.024846136311830407,0.6380214269432414,0.6727402643801358,0,0.6216093002051516,0.38922289022489426,0,1.0286269996485609
Jerome Golmard,2000,51,30,21,0.5882352941176471,0.09510795299262094,0.04591418420333424,0.5722875102487018,0.725883476599809,0,0.6460781634326319,0.36514410005437736,0,1.0317083105011329
Albert Costa,2000,50,28,22,0.56,0.05300261096605744,0.021409921671018278,0.614621409921671,0.6843670348343246,0,0.6323759791122715,0.38447416732231837,0,1.0458352704861358
Mariano Puerta,2000,56,39,17,0.6964285714285714,0.047353019420058526,0.021282255919127427,0.6698590050545358,0.7077045274027005,0,0.6517690875232774,0.39145254326166756,0,1.1241177311845747
Felix Mantilla,2000,31,16,15,0.5161290322580645,0.027898027898027897,0.026455026455026454,0.6103896103896104,0.6469661150512215,0,0.5978835978835979,0.39623552123552125,0,0.9853751778093884
Nicolas Kiefer,2000,44,30,14,0.6818181818181818,0.08082813386273398,0.05388542257515598,0.5201361315938741,0.7562704471101418,0,0.6392512762336926,0.39528795811518325,0,1.0957431920708618
Chris Woodruff,2000,40,18,22,0.45,0.08015146733985484,0.0552224676554118,0.594193751972231,0.7265002655337228,0,0.6298516882297255,0.371536523929471,0,1.0037504214258257
Mardy Fish,2000,6,2,4,0.3333333333333333,0.05142857142857143,0.04380952380952381,0.5485714285714286,0.6458333333333334,0,0.5695238095238095,0.34368932038834954,0,0.7983933327605466
Wayne Arthurs,2000,30,12,18,0.4,0.1925111925111925,0.07326007326007326,0.5295075295075296,0.8216756341275941,0,0.6963776963776964,0.28456318914334183,0,0.9372275545914088
